TradeID,BBGCode,Currency,Side,Price,Volume,Portfolio,Action,Account,Strategy,User,TradeTimeUTC,ValueDate
bf8ef540d36f442e8a44a80e6225c4ab,V LN Equity,EUR,S,175.1875765,859802,portfolio6,NEW,Account5,Strategy3,User1,2010-01-01T03:23:17.919930,20100101
8491f0c221ee41bbb586c477c272940c,V LN Equity,EUR,B,178.4006476,696744,portfolio6,NEW,Account3,Strategy5,User1,2010-01-01T17:42:46.653650,20100101
5a73a7a3a2c04a71aae1198e54154363,V LN Equity,GBP,B,764.7898195,551958,portfolio2,NEW,Account3,Strategy2,User4,2010-01-01T04:11:31.910815,20100101
125ddfc672334b79b8707d426d90052f,V LN Equity,NOK,S,202.4236094,74001,portfolio3,NEW,Account3,Strategy1,User1,2010-01-02T00:25:25.444858,20100102
ac4b43d7ca1a4ecf95f81c43931bd5a0,V LN Equity,USD,S,775.1480364,776533,portfolio4,NEW,Account4,Strategy6,User6,2010-01-02T00:59:00.834594,20100102
6fd0ee72dd4b4dbf8f3ed852b8be417b,V LN Equity,KRW,B,1497.328361,378788,portfolio3,NEW,Account3,Strategy5,User1,2010-01-01T14:39:48.554387,20100101
e224d42606224d7989fb844243134ee3,V LN Equity,JPY,B,483.1373622,230755,portfolio5,NEW,Account6,Strategy4,User4,2010-01-01T05:17:15.428735,20100101
198bfbbf79444419965257aa121a6c9f,V LN Equity,JPY,S,481.4513826,777347,portfolio1,NEW,Account4,Strategy6,User6,2010-01-02T05:37:31.493722,20100102
fe43f19c157444f19bb7b68b66f1a178,V LN Equity,JPY,B,478.5798355,403441,portfolio6,NEW,Account5,Strategy3,User5,2010-01-03T03:32:06.756478,20100103
6ec70515a6c4468a8945f3a5ea62229c,V LN Equity,USD,S,775.110603,943676,portfolio5,NEW,Account4,Strategy2,User2,2010-01-02T15:25:44.450819,20100102
f4535a1c3f10450c8f5431464d92fab2,V LN Equity,JPY,B,481.5403072,317587,portfolio5,NEW,Account3,Strategy6,User4,2010-01-04T08:27:23.540498,20100104
07955f4b78c64058bb70235a3c41619c,V LN Equity,KRW,B,1492.427913,833019,portfolio2,NEW,Account5,Strategy5,User6,2010-01-02T11:01:06.628843,20100102
a01f448aa1e94b3da19633ae56b196b4,V LN Equity,KRW,S,1488.453675,45365,portfolio6,NEW,Account3,Strategy5,User3,2010-01-03T13:34:44.518026,20100103
84829756c6a2433793e9d679b1184bca,V LN Equity,KRW,B,1487.461905,325682,portfolio6,NEW,Account6,Strategy4,User6,2010-01-03T19:32:20.717646,20100103
cb62139d26fa45e3ba4c34f90972ac9e,V LN Equity,NOK,S,203.988589,238235,portfolio5,NEW,Account3,Strategy6,User3,2010-01-02T03:25:19.673800,20100102
cdf09161d91e4cd1bdcf1193e735e5bc,V LN Equity,EUR,B,180.3311983,869653,portfolio1,NEW,Account2,Strategy4,User6,2010-01-02T00:36:28.450818,20100102
39e1b0b90bc74a79be1c253821ebda22,V LN Equity,USD,S,772.7028738,863689,portfolio2,NEW,Account5,Strategy6,User2,2010-01-03T16:42:46.071888,20100103
ece5cda123404e2da0ba1e9ddfad5f48,V LN Equity,KRW,B,1487.735545,196205,portfolio6,NEW,Account1,Strategy6,User1,2010-01-04T21:36:09.772858,20100104
16a06c9ad9a9455c894672c63d028226,V LN Equity,GBP,B,768.6018698,179289,portfolio2,NEW,Account5,Strategy2,User1,2010-01-01T11:18:44.567927,20100101
e4ec81bc2b044497ac448c9b42c579c6,V LN Equity,USD,S,772.1381757,366212,portfolio2,NEW,Account4,Strategy1,User6,2010-01-04T05:19:57.287711,20100104
a835795647f34c99bc604bb3b0fa7ac5,V LN Equity,JPY,B,478.8074232,590780,portfolio1,NEW,Account1,Strategy3,User3,2010-01-04T19:57:07.873693,20100104
5f7d2912986a498fa9a085eb2c9d1040,V LN Equity,EUR,B,176.5562271,324611,portfolio3,NEW,Account4,Strategy5,User4,2010-01-02T03:53:44.737561,20100102
e0900ec7bc1c4cbeac680aa59d4e0a31,V LN Equity,NOK,B,200.9256679,386030,portfolio2,NEW,Account1,Strategy2,User2,2010-01-02T07:07:57.993390,20100102
8fb5d08402f04850a2d41bf8649bc05c,V LN Equity,JPY,S,479.4309493,137531,portfolio1,NEW,Account6,Strategy3,User3,2010-01-05T08:50:24.213048,20100105
eea2a6a164a44114b66c51a68c0e2601,V LN Equity,KRW,B,1492.519288,184464,portfolio4,NEW,Account3,Strategy3,User5,2010-01-05T20:26:24.041734,20100105
bff752f2b1354a8fa8cd1794abf3e619,V LN Equity,JPY,B,477.8451745,723181,portfolio1,NEW,Account6,Strategy6,User3,2010-01-05T11:55:55.527699,20100105
9f0b65d0082845139fefd8d540ecef42,V LN Equity,NOK,B,200.6045258,132452,portfolio2,NEW,Account4,Strategy4,User4,2010-01-03T10:14:35.157911,20100103
e4b49f5bb6d341dd9c123405225032f1,V LN Equity,EUR,B,179.3525308,756582,portfolio3,NEW,Account5,Strategy4,User2,2010-01-03T05:50:50.804282,20100103
5921c2750fe142a79d39d363598f2748,V LN Equity,GBP,B,768.5642935,748196,portfolio1,NEW,Account1,Strategy4,User2,2010-01-02T12:29:55.525852,20100102
0d886f94e8a844cca3c1f6835e9e53ba,V LN Equity,KRW,B,1495.634301,269822,portfolio2,NEW,Account4,Strategy3,User6,2010-01-07T00:44:18.277828,20100107
6ab6ee7c199a420686c9c87c79144405,V LN Equity,NOK,B,204.4270526,208197,portfolio5,NEW,Account3,Strategy2,User4,2010-01-04T04:54:49.060752,20100104
6666c8547ae14023948164dfb938ce5b,V LN Equity,JPY,S,477.0772738,142107,portfolio4,NEW,Account4,Strategy3,User6,2010-01-06T11:30:13.605593,20100106
fbfe71dbb330472a825305d3eedf88da,V LN Equity,KRW,S,1492.041659,381662,portfolio5,NEW,Account2,Strategy4,User5,2010-01-07T17:42:07.263946,20100107
47324a82894942ecbff47d965d756727,V LN Equity,GBP,S,767.2440203,891773,portfolio3,NEW,Account6,Strategy6,User6,2010-01-02T17:07:14.450985,20100102
45721a0d62c7405e9f140c5220f4c298,V LN Equity,EUR,S,175.3533393,936081,portfolio6,NEW,Account3,Strategy3,User3,2010-01-03T21:41:26.070808,20100103
ce321ca9679046f787731cec0bbeed2b,V LN Equity,GBP,B,769.3599528,949871,portfolio3,NEW,Account3,Strategy1,User4,2010-01-02T20:29:25.044651,20100102
1704466de5a644139a2496b5417132db,V LN Equity,USD,S,774.434024,83973,portfolio3,NEW,Account5,Strategy6,User1,2010-01-04T15:51:37.359181,20100104
c80c72298274492e92e98c1f01eb1427,V LN Equity,USD,S,776.2232767,205917,portfolio6,NEW,Account3,Strategy4,User3,2010-01-05T13:02:03.357568,20100105
badf5b083d5e495cb842936482b80d4d,V LN Equity,USD,B,774.3159668,55316,portfolio3,NEW,Account5,Strategy6,User2,2010-01-05T17:18:15.564702,20100105
4c8e7566aa3e47f4b72b968c0e54f5f2,V LN Equity,EUR,B,177.9512635,680300,portfolio4,NEW,Account2,Strategy6,User4,2010-01-03T23:20:10.648366,20100103
c7da532de3aa4852b4937b7d43d0737f,V LN Equity,EUR,B,173.9105061,944877,portfolio6,NEW,Account3,Strategy2,User5,2010-01-04T18:11:41.001446,20100104
ed8aed23c15d4236b120d4b85d0d8fdf,V LN Equity,GBP,B,766.6567445,603421,portfolio2,NEW,Account1,Strategy6,User6,2010-01-03T10:02:15.818887,20100103
c9754c88bf944a4c8ad6ce84308c780f,V LN Equity,USD,S,777.3478006,494759,portfolio5,NEW,Account1,Strategy4,User4,2010-01-05T20:34:06.056607,20100105
00bb673a63934a518e2858d630008ff9,V LN Equity,NOK,S,202.1521159,167185,portfolio2,NEW,Account3,Strategy3,User2,2010-01-05T04:21:15.222167,20100105
98b835c00aad46e896755ca82c821e7d,V LN Equity,NOK,S,202.6459944,284662,portfolio1,NEW,Account5,Strategy2,User4,2010-01-06T06:27:18.719395,20100106
1f80d62a7ade4728967acfd1e84f29d8,V LN Equity,USD,B,780.1378208,565539,portfolio3,NEW,Account5,Strategy1,User2,2010-01-06T18:32:34.007436,20100106
79eaa5815dca402583eb2afac1c77ec1,V LN Equity,EUR,S,175.1481455,50499,portfolio4,NEW,Account5,Strategy5,User4,2010-01-05T15:20:29.668731,20100105
4aaa7d582c1d47e68693b89fe210f02c,V LN Equity,NOK,B,202.8695205,530823,portfolio4,NEW,Account2,Strategy4,User4,2010-01-06T18:02:31.316310,20100106
d3d4b86bf1854e10a06294509ec2a56e,V LN Equity,EUR,B,178.8805285,404725,portfolio3,NEW,Account3,Strategy6,User5,2010-01-05T22:24:34.927513,20100105
9219625f21454e288e5c8af734eb51a6,V LN Equity,USD,S,776.4896947,684877,portfolio5,NEW,Account6,Strategy2,User3,2010-01-07T17:12:39.658001,20100107
2475667fa2434acf9cfe6a5bdd633043,V LN Equity,KRW,B,1488.424669,470416,portfolio1,NEW,Account2,Strategy4,User3,2010-01-08T01:36:17.608360,20100108
